epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.30486,1.66555,4.35456,2.06297,0.48753,0.85,0.83175,0.40407,1.98147,1.90162,1.97224,0,0,0
2,8.08504,1.56198,3.59016,1.99818,0.44888,0.83333,0.84222,0.39946,1.99492,1.88043,1.97208,1.16644e-06,1.16644e-06,1.16644e-06
3,8.97427,1.55445,3.42574,1.98084,0.48767,0.83333,0.78573,0.3757,2.00914,1.88826,1.98339,2.28575e-06,2.28575e-06,2.28575e-06
4,10.0555,1.79681,4.32234,2.4561,0.4914,0.83333,0.77396,0.36726,2.04106,1.87769,1.99925,3.35794e-06,3.35794e-06,3.35794e-06
5,12.3462,2.0178,3.81092,2.58923,0.46223,0.85,0.77228,0.37998,2.05367,1.91038,2.01829,4.38301e-06,4.38301e-06,4.38301e-06
6,13.0378,1.1999,2.9589,1.65176,0.46349,0.85,0.77289,0.36841,2.06405,1.93574,2.02544,5.36095e-06,5.36095e-06,5.36095e-06
7,13.8865,1.91628,4.88587,2.28652,0.45683,0.85,0.76978,0.38891,2.06586,1.94554,2.01962,6.29177e-06,6.29177e-06,6.29177e-06
8,14.6519,2.48964,6.15112,2.84267,0.44273,0.82795,0.76952,0.3887,2.06758,1.94731,2.01725,7.17546e-06,7.17546e-06,7.17546e-06
9,15.4337,1.58884,3.73725,2.11299,0.4072,0.76667,0.7649,0.38828,2.05648,1.9477,2.01336,8.01203e-06,8.01203e-06,8.01203e-06
10,16.1563,1.3888,3.53526,1.94524,0.40225,0.76667,0.76907,0.38475,2.05705,1.95913,2.00178,8.80148e-06,8.80148e-06,8.80148e-06
11,16.9321,1.6481,3.52365,2.20546,0.39944,0.76667,0.76541,0.37132,2.03821,1.9719,1.98057,9.5438e-06,9.5438e-06,9.5438e-06
12,17.6555,1.18779,2.87489,1.77947,0.40626,0.76667,0.76577,0.37674,2.0399,1.98111,1.97505,1.0239e-05,1.0239e-05,1.0239e-05
